S1,action,reward,S2
"[0.01, 1, 0.7416666666666667, 5.812500000000001, False]",2,5,"[0.05, 1, 0.7416666666666667, 5.312500000000001, False]"
"[0.05, 1, 0.7416666666666667, 5.312500000000001, False]",4,0,"[0.05, 0, 0.7416666666666667, 5.312500000000001, False]"
"[0.05, 0, 0.7416666666666667, 5.312500000000001, False]",3,0,"[0.09, 0, 0.9416666666666667, 5.812500000000001, False]"
"[0.09, 0, 0.9416666666666667, 5.812500000000001, False]",2,0,"[0.24, 0, 0.7416666666666667, 5.312500000000001, False]"
"[0.24, 0, 0.7416666666666667, 5.312500000000001, False]",1,0,"[0.01, 0, 0.7333333333333334, 5.291666666666668, False]"
"[0.01, 0, 0.7333333333333334, 5.291666666666668, False]",1,0,"[0.08, 0, 0.7250000000000001, 5.270833333333335, False]"
"[0.08, 0, 0.7250000000000001, 5.270833333333335, False]",2,0,"[0.53, 0, 0.5250000000000001, 4.770833333333335, False]"
"[0.53, 0, 0.5250000000000001, 4.770833333333335, False]",4,0,"[0.53, 1, 0.5250000000000001, 4.770833333333335, False]"
"[0.53, 1, 0.5250000000000001, 4.770833333333335, False]",2,5,"[0.53, 1, 0.5250000000000001, 4.270833333333335, False]"
"[0.53, 1, 0.5250000000000001, 4.270833333333335, False]",4,0,"[0.53, 0, 0.5250000000000001, 4.270833333333335, False]"
"[0.53, 0, 0.5250000000000001, 4.270833333333335, False]",1,0,"[0.53, 0, 0.5166666666666668, 4.250000000000002, False]"
"[0.53, 0, 0.5166666666666668, 4.250000000000002, False]",1,0,"[0.53, 0, 0.5083333333333335, 4.229166666666669, False]"
"[0.53, 0, 0.5083333333333335, 4.229166666666669, False]",2,0,"[0.53, 0, 0.3083333333333335, 3.7291666666666687, False]"
"[0.53, 0, 0.3083333333333335, 3.7291666666666687, False]",3,0,"[0.07, 0, 0.5083333333333335, 4.229166666666669, False]"
"[0.07, 0, 0.5083333333333335, 4.229166666666669, False]",3,0,"[0.07, 0, 0.7083333333333335, 4.729166666666669, False]"
"[0.07, 0, 0.7083333333333335, 4.729166666666669, False]",2,0,"[0.21, 0, 0.5083333333333335, 4.229166666666669, False]"
"[0.21, 0, 0.5083333333333335, 4.229166666666669, False]",1,0,"[0.01, 0, 0.5000000000000002, 4.208333333333336, False]"
"[0.01, 0, 0.5000000000000002, 4.208333333333336, False]",4,0,"[0.01, 1, 0.5000000000000002, 4.208333333333336, False]"
"[0.01, 1, 0.5000000000000002, 4.208333333333336, False]",2,5,"[0.06, 1, 0.5000000000000002, 3.7083333333333357, False]"
"[0.06, 1, 0.5000000000000002, 3.7083333333333357, False]",3,0,"[0.02, 1, 0.5000000000000002, 4.208333333333336, False]"
