S1,action,reward,S2
"[0.27, 1, -0.39166666666666666, 2.1666666666666683, False]",2,0.2,"[0.27, 1, -0.39166666666666666, 1.6666666666666683, False]"
"[0.27, 1, -0.39166666666666666, 1.6666666666666683, False]",3,0.0,"[0.01, 1, -0.39166666666666666, 2.1666666666666683, False]"
"[0.01, 1, -0.39166666666666666, 2.1666666666666683, False]",4,0.0,"[0.01, 0, -0.39166666666666666, 2.1666666666666683, False]"
"[0.01, 0, -0.39166666666666666, 2.1666666666666683, False]",0,0.94,"[0.03, 0, -0.3833333333333333, 2.1875000000000018, False]"
"[0.03, 0, -0.3833333333333333, 2.1875000000000018, False]",4,0.0,"[0.03, 1, -0.3833333333333333, 2.1875000000000018, False]"
"[0.03, 1, -0.3833333333333333, 2.1875000000000018, False]",4,0.0,"[0.03, 0, -0.3833333333333333, 2.1875000000000018, False]"
"[0.03, 0, -0.3833333333333333, 2.1875000000000018, False]",2,0.0,"[0.06, 0, -0.5833333333333333, 1.6875000000000018, False]"
"[0.06, 0, -0.5833333333333333, 1.6875000000000018, False]",0,0.94,"[0.03, 0, -0.575, 1.708333333333335, False]"
"[0.03, 0, -0.575, 1.708333333333335, False]",0,0.94,"[0.03, 0, -0.5666666666666667, 1.7291666666666683, False]"
"[0.03, 0, -0.5666666666666667, 1.7291666666666683, False]",2,0.0,"[0.07, 0, -0.7666666666666666, 1.2291666666666683, False]"
"[0.07, 0, -0.7666666666666666, 1.2291666666666683, False]",0,0.94,"[0.03, 0, -0.7583333333333333, 1.2500000000000016, False]"
"[0.03, 0, -0.7583333333333333, 1.2500000000000016, False]",3,0.0,"[0.0, 0, -0.5583333333333333, 1.7500000000000016, False]"
"[0.0, 0, -0.5583333333333333, 1.7500000000000016, False]",1,0.0,"[0.05, 0, -0.5666666666666667, 1.7291666666666683, False]"
"[0.05, 0, -0.5666666666666667, 1.7291666666666683, False]",3,0.0,"[0.17, 0, -0.36666666666666664, 2.2291666666666683, False]"
"[0.17, 0, -0.36666666666666664, 2.2291666666666683, False]",3,0.0,"[0.17, 0, -0.16666666666666663, 2.7291666666666683, False]"
"[0.17, 0, -0.16666666666666663, 2.7291666666666683, False]",3,0.0,"[0.17, 0, 0.03333333333333338, 3.2291666666666683, False]"
"[0.17, 0, 0.03333333333333338, 3.2291666666666683, False]",0,0.6599999999999999,"[0.17, 0, 0.04166666666666671, 3.2500000000000018, False]"
"[0.17, 0, 0.04166666666666671, 3.2500000000000018, False]",2,0.0,"[0.08, 0, -0.1583333333333333, 2.7500000000000018, False]"
"[0.08, 0, -0.1583333333333333, 2.7500000000000018, False]",0,1.0,"[0.0, 0, -0.14999999999999997, 2.7708333333333353, False]"
"[0.0, 0, -0.14999999999999997, 2.7708333333333353, False]",2,0.0,"[0.06, 0, -0.35, 2.2708333333333353, False]"
"[0.06, 0, -0.35, 2.2708333333333353, False]",2,0.0,"[0.08, 0, -0.55, 1.7708333333333353, False]"
"[0.08, 0, -0.55, 1.7708333333333353, False]",0,0.94,"[0.03, 0, -0.5416666666666667, 1.7916666666666685, False]"
"[0.03, 0, -0.5416666666666667, 1.7916666666666685, False]",1,0.0,"[0.05, 0, -0.55, 1.7708333333333353, False]"
"[0.05, 0, -0.55, 1.7708333333333353, False]",3,0.0,"[0.01, 0, -0.35000000000000003, 2.2708333333333353, False]"
"[0.01, 0, -0.35000000000000003, 2.2708333333333353, False]",2,0.0,"[0.22, 0, -0.55, 1.7708333333333353, False]"
"[0.22, 0, -0.55, 1.7708333333333353, False]",4,0.0,"[0.22, 1, -0.55, 1.7708333333333353, False]"
"[0.22, 1, -0.55, 1.7708333333333353, False]",4,0.0,"[0.22, 0, -0.55, 1.7708333333333353, False]"
"[0.22, 0, -0.55, 1.7708333333333353, False]",3,0.0,"[0.05, 0, -0.35000000000000003, 2.2708333333333353, False]"
"[0.05, 0, -0.35000000000000003, 2.2708333333333353, False]",3,0.0,"[0.19, 0, -0.15000000000000002, 2.7708333333333353, False]"
"[0.19, 0, -0.15000000000000002, 2.7708333333333353, False]",2,0.0,"[0.12, 0, -0.35000000000000003, 2.2708333333333353, False]"
"[0.12, 0, -0.35000000000000003, 2.2708333333333353, False]",1,0.0,"[0.09, 0, -0.3583333333333334, 2.2500000000000018, False]"
"[0.09, 0, -0.3583333333333334, 2.2500000000000018, False]",1,0.0,"[0.1, 0, -0.36666666666666675, 2.2291666666666683, False]"
"[0.1, 0, -0.36666666666666675, 2.2291666666666683, False]",4,0.0,"[0.1, 1, -0.36666666666666675, 2.2291666666666683, False]"
"[0.1, 1, -0.36666666666666675, 2.2291666666666683, False]",3,0.0,"[0.07, 1, -0.36666666666666675, 2.7291666666666683, False]"
"[0.07, 1, -0.36666666666666675, 2.7291666666666683, False]",3,0.0,"[0.11, 1, -0.36666666666666675, 3.2291666666666683, False]"
"[0.11, 1, -0.36666666666666675, 3.2291666666666683, False]",1,0.0,"[0.03, 1, -0.36666666666666675, 3.208333333333335, False]"
"[0.03, 1, -0.36666666666666675, 3.208333333333335, False]",1,0.0,"[0.02, 1, -0.36666666666666675, 3.1875000000000013, False]"
"[0.02, 1, -0.36666666666666675, 3.1875000000000013, False]",4,0.0,"[0.02, 0, -0.36666666666666675, 3.1875000000000013, False]"
"[0.02, 0, -0.36666666666666675, 3.1875000000000013, False]",3,0.0,"[0.12, 0, -0.16666666666666674, 3.6875000000000013, False]"
"[0.12, 0, -0.16666666666666674, 3.6875000000000013, False]",4,0.0,"[0.12, 1, -0.16666666666666674, 3.6875000000000013, False]"
"[0.12, 1, -0.16666666666666674, 3.6875000000000013, False]",1,0.0,"[0.03, 1, -0.16666666666666674, 3.666666666666668, False]"
"[0.03, 1, -0.16666666666666674, 3.666666666666668, False]",0,0.0,"[0.09, 1, -0.16666666666666674, 3.6875000000000013, False]"
"[0.09, 1, -0.16666666666666674, 3.6875000000000013, False]",2,0.2,"[0.02, 1, -0.16666666666666674, 3.1875000000000013, False]"
"[0.02, 1, -0.16666666666666674, 3.1875000000000013, False]",0,0.0,"[0.02, 1, -0.16666666666666674, 3.208333333333335, False]"
