S1,action,reward,S2
"[0.05, 1, 0.34166666666666656, 1.1458333333333333, False]",2,0.0,"[0.01, 1, 0.34166666666666656, 0.6458333333333333, False]"
"[0.01, 1, 0.34166666666666656, 0.6458333333333333, False]",3,0.0,"[0.05, 1, 0.34166666666666656, 1.1458333333333333, False]"
"[0.05, 1, 0.34166666666666656, 1.1458333333333333, False]",3,0.0,"[0.05, 1, 0.34166666666666656, 1.6458333333333333, False]"
"[0.05, 1, 0.34166666666666656, 1.6458333333333333, False]",2,1.0,"[0.01, 1, 0.34166666666666656, 1.1458333333333333, False]"
"[0.01, 1, 0.34166666666666656, 1.1458333333333333, False]",0,-1.0,"[0.0, 1, 0.34166666666666656, 1.1666666666666665, False]"
"[0.0, 1, 0.34166666666666656, 1.1666666666666665, False]",2,0.0,"[0.02, 1, 0.34166666666666656, 0.6666666666666665, False]"
"[0.02, 1, 0.34166666666666656, 0.6666666666666665, False]",3,0.0,"[0.01, 1, 0.34166666666666656, 1.1666666666666665, False]"
"[0.01, 1, 0.34166666666666656, 1.1666666666666665, False]",1,-1.0,"[0.01, 1, 0.34166666666666656, 1.1458333333333333, False]"
"[0.01, 1, 0.34166666666666656, 1.1458333333333333, False]",4,-1.0,"[0.01, 0, 0.34166666666666656, 1.1458333333333333, False]"
"[0.01, 0, 0.34166666666666656, 1.1458333333333333, False]",2,0.0,"[0.25, 0, 0.14166666666666655, 0.6458333333333333, False]"
"[0.25, 0, 0.14166666666666655, 0.6458333333333333, False]",0,1.0,"[0.0, 0, 0.14999999999999988, 0.6666666666666666, False]"
"[0.0, 0, 0.14999999999999988, 0.6666666666666666, False]",1,0.0,"[0.13, 0, 0.14166666666666655, 0.6458333333333333, False]"
"[0.13, 0, 0.14166666666666655, 0.6458333333333333, False]",1,0.0,"[0.13, 0, 0.13333333333333322, 0.6249999999999999, False]"
"[0.13, 0, 0.13333333333333322, 0.6249999999999999, False]",3,0.0,"[0.04, 0, 0.33333333333333326, 1.125, False]"
"[0.04, 0, 0.33333333333333326, 1.125, False]",1,0.0,"[0.07, 0, 0.3249999999999999, 1.1041666666666667, False]"
"[0.07, 0, 0.3249999999999999, 1.1041666666666667, False]",1,0.0,"[0.08, 0, 0.31666666666666654, 1.0833333333333335, False]"
"[0.08, 0, 0.31666666666666654, 1.0833333333333335, False]",0,0.0,"[0.09, 0, 0.3249999999999999, 1.1041666666666667, False]"
"[0.09, 0, 0.3249999999999999, 1.1041666666666667, False]",1,0.0,"[0.09, 0, 0.31666666666666654, 1.0833333333333335, False]"
"[0.09, 0, 0.31666666666666654, 1.0833333333333335, False]",4,1.0,"[0.09, 1, 0.31666666666666654, 1.0833333333333335, False]"
"[0.09, 1, 0.31666666666666654, 1.0833333333333335, False]",1,-1.0,"[0.01, 1, 0.31666666666666654, 1.0625000000000002, False]"
"[0.01, 1, 0.31666666666666654, 1.0625000000000002, False]",1,-1.0,"[0.0, 1, 0.31666666666666654, 1.041666666666667, False]"
"[0.0, 1, 0.31666666666666654, 1.041666666666667, False]",2,0.0,"[0.02, 1, 0.31666666666666654, 0.541666666666667, False]"
"[0.02, 1, 0.31666666666666654, 0.541666666666667, False]",2,0.0,"[0.02, 1, 0.31666666666666654, 0.04166666666666696, False]"
"[0.02, 1, 0.31666666666666654, 0.04166666666666696, False]",0,-1.0,"[0.01, 1, 0.31666666666666654, 0.06250000000000029, False]"
"[0.01, 1, 0.31666666666666654, 0.06250000000000029, False]",2,0.0,"[0.01, 1, 0.31666666666666654, -0.4374999999999997, False]"
"[0.01, 1, 0.31666666666666654, -0.4374999999999997, False]",1,-1.0,"[0.01, 1, 0.31666666666666654, -0.45833333333333304, False]"
"[0.01, 1, 0.31666666666666654, -0.45833333333333304, False]",4,-1.0,"[0.01, 0, 0.31666666666666654, -0.45833333333333304, False]"
"[0.01, 0, 0.31666666666666654, -0.45833333333333304, False]",2,0.0,"[0.01, 0, 0.11666666666666653, -0.958333333333333, False]"
"[0.01, 0, 0.11666666666666653, -0.958333333333333, False]",2,0.0,"[0.01, 0, -0.08333333333333348, -1.458333333333333, False]"
"[0.01, 0, -0.08333333333333348, -1.458333333333333, False]",1,0.0,"[0.01, 0, -0.09166666666666681, -1.4791666666666663, False]"
"[0.01, 0, -0.09166666666666681, -1.4791666666666663, False]",2,0.0,"[0.01, 0, -0.29166666666666685, -1.9791666666666663, False]"
"[0.01, 0, -0.29166666666666685, -1.9791666666666663, False]",1,0.0,"[0.01, 0, -0.3000000000000002, -1.9999999999999996, False]"
"[0.01, 0, -0.3000000000000002, -1.9999999999999996, False]",1,0.0,"[0.01, 0, -0.30833333333333357, -2.020833333333333, False]"
"[0.01, 0, -0.30833333333333357, -2.020833333333333, False]",1,0.0,"[0.01, 0, -0.31666666666666693, -2.0416666666666665, False]"
"[0.01, 0, -0.31666666666666693, -2.0416666666666665, False]",2,0.0,"[0.01, 0, -0.5166666666666669, -2.5416666666666665, False]"
"[0.01, 0, -0.5166666666666669, -2.5416666666666665, False]",1,0.0,"[0.01, 0, -0.5250000000000002, -2.5625, False]"
"[0.01, 0, -0.5250000000000002, -2.5625, False]",1,0.0,"[0.01, 0, -0.5333333333333335, -2.5833333333333335, False]"
"[0.01, 0, -0.5333333333333335, -2.5833333333333335, False]",1,0.0,"[0.01, 0, -0.5416666666666669, -2.604166666666667, False]"
"[0.01, 0, -0.5416666666666669, -2.604166666666667, False]",1,0.0,"[0.01, 0, -0.5500000000000002, -2.6250000000000004, False]"
"[0.01, 0, -0.5500000000000002, -2.6250000000000004, False]",0,0.8,"[0.1, 0, -0.5416666666666669, -2.604166666666667, False]"
"[0.1, 0, -0.5416666666666669, -2.604166666666667, False]",0,0.96,"[0.02, 0, -0.5333333333333335, -2.5833333333333335, False]"
"[0.02, 0, -0.5333333333333335, -2.5833333333333335, False]",0,0.98,"[0.01, 0, -0.5250000000000002, -2.5625, False]"
"[0.01, 0, -0.5250000000000002, -2.5625, False]",4,1.0,"[0.01, 1, -0.5250000000000002, -2.5625, False]"
"[0.01, 1, -0.5250000000000002, -2.5625, False]",1,-1.0,"[0.01, 1, -0.5250000000000002, -2.5833333333333335, False]"
