S1,action,reward,S2
"[0.48, 0, 1.0, 0.425, False]",2,-1.0,"[0.48, 0, -0.7833333333333332, 0, False]"
"[0.48, 0, 1.0, 0.425, False]",1,0.0,"[0.48, 0, -0.7916666666666665, 0.425, False]"
"[0.48, 0, 1.0, 0.425, False]",2,-1.0,"[0.48, 0, -0.9916666666666665, 0, False]"
"[0.48, 0, 1.0, 0.425, False]",2,-1.0,"[0.48, 0, -1.1916666666666664, 0, False]"
"[0.48, 0, 1.0, 0.425, False]",3,-1.0,"[0.05, 0, -0.9916666666666665, 0, False]"
"[0.05, 0, 0.5, 0.625, False]",1,0.0,"[0.08, 0, -0.9999999999999998, 0.6166666666666667, False]"
"[0.08, 0, 0.5208333333333334, 0.6166666666666667, False]",3,-1.0,"[0.06, 0, -0.7999999999999998, 0, False]"
"[0.06, 0, 0.020833333333333332, 0.8166666666666667, False]",2,-1.0,"[0.3, 0, -0.9999999999999998, 0, False]"
"[0.3, 0, 0.5208333333333334, 0.6166666666666667, False]",3,-1.0,"[0.04, 0, -0.7999999999999998, 0, False]"
"[0.04, 0, 0.020833333333333332, 0.8166666666666667, False]",0,0.84,"[0.08, 0, -0.7916666666666665, 0.825, False]"
"[0.08, 0, 0.0, 0.825, False]",2,-1.0,"[0.26, 0, -0.9916666666666665, 0, False]"
"[0.26, 0, 0.5, 0.625, False]",1,0.0,"[0.09, 0, -0.9999999999999998, 0.6166666666666667, False]"
"[0.09, 0, 0.5208333333333334, 0.6166666666666667, False]",0,0.98,"[0.01, 0, -0.9916666666666665, 0.625, False]"
"[0.01, 0, 0.5, 0.625, False]",3,-1.0,"[0.04, 0, -0.7916666666666665, 0, False]"
"[0.04, 0, 0.0, 0.825, False]",0,0.92,"[0.04, 0, -0.7833333333333332, 0.825, False]"
"[0.04, 0, 0.0, 0.825, False]",0,0.92,"[0.04, 0, -0.7749999999999999, 0.825, False]"
"[0.04, 0, 0.0, 0.825, False]",4,-1.0,"[0.04, 1, -0.7749999999999999, 0.825, False]"
"[0.04, 1, 0.0, 0.825, False]",0,-1.0,"[0.04, 1, -0.7749999999999999, 0.825, False]"
"[0.04, 1, 0.0, 0.825, False]",3,-1.0,"[0.04, 1, -0.7749999999999999, 0, False]"
"[0.04, 1, 0.0, 0.825, False]",3,-1.0,"[0.04, 1, -0.7749999999999999, 0, False]"
"[0.04, 1, 0.0, 0.825, False]",2,-1.0,"[0.05, 1, -0.7749999999999999, 0, False]"
"[0.05, 1, 0.5, 0.825, False]",3,-1.0,"[0.03, 1, -0.7749999999999999, 0, False]"
"[0.03, 1, 0.0, 0.825, False]",0,-1.0,"[0.03, 1, -0.7749999999999999, 0.825, False]"
"[0.03, 1, 0.0, 0.825, False]",1,-1.0,"[0.0, 1, -0.7749999999999999, 0.825, False]"
"[0.0, 1, 0.020833333333333332, 0.825, False]",4,-1.0,"[0.0, 0, -0.7749999999999999, 0.825, False]"
"[0.0, 0, 0.020833333333333332, 0.825, False]",3,-1.0,"[0.02, 0, -0.575, 0, False]"
"[0.02, 0, 0.0, 0.8333333333333334, False]",1,0.0,"[0.03, 0, -0.5833333333333333, 0.825, False]"
"[0.03, 0, 0.020833333333333332, 0.825, False]",0,0.96,"[0.02, 0, -0.575, 0.8333333333333334, False]"
"[0.02, 0, 0.0, 0.8333333333333334, False]",0,0.96,"[0.02, 0, -0.5666666666666667, 0.8333333333333334, False]"
"[0.02, 0, 0.0, 0.8333333333333334, False]",0,0.96,"[0.02, 0, -0.5583333333333333, 0.8333333333333334, False]"
"[0.02, 0, 0.0, 0.8333333333333334, False]",0,0.96,"[0.02, 0, -0.55, 0.8333333333333334, False]"
"[0.02, 0, 0.0, 0.8333333333333334, False]",0,0.96,"[0.02, 0, -0.5416666666666667, 0.8333333333333334, False]"
"[0.02, 0, 0.0, 0.8333333333333334, False]",1,0.0,"[0.03, 0, -0.55, 0.825, False]"
"[0.03, 0, 0.020833333333333332, 0.825, False]",0,0.96,"[0.02, 0, -0.5416666666666667, 0.8333333333333334, False]"
"[0.02, 0, 0.0, 0.8333333333333334, False]",2,-1.0,"[0.25, 0, -0.7416666666666667, 0, False]"
"[0.25, 0, 0.5, 0.6333333333333333, False]",4,-1.0,"[0.25, 1, -0.7416666666666667, 0.6333333333333333, False]"
"[0.25, 1, 0.5, 0.6333333333333333, False]",4,-1.0,"[0.25, 0, -0.7416666666666667, 0.6333333333333333, False]"
"[0.25, 0, 0.5, 0.6333333333333333, False]",4,-1.0,"[0.25, 1, -0.7416666666666667, 0.6333333333333333, False]"
"[0.25, 1, 0.5, 0.6333333333333333, False]",3,-1.0,"[0.03, 1, -0.7416666666666667, 0, False]"
"[0.03, 1, 0.0, 0.6333333333333333, False]",1,-1.0,"[0.0, 1, -0.7416666666666667, 0.6333333333333333, False]"
"[0.0, 1, 0.020833333333333332, 0.6333333333333333, False]",2,-1.0,"[0.06, 1, -0.7416666666666667, 0, False]"
"[0.06, 1, 0.5208333333333334, 0.6333333333333333, False]",0,-1.0,"[0.05, 1, -0.7416666666666667, 0.6333333333333333, False]"
"[0.05, 1, 0.5, 0.6333333333333333, False]",3,-1.0,"[0.02, 1, -0.7416666666666667, 0, False]"
